2026-09-18T16:14:00Z INFO Logging to /tmp/logs/update_2026-09-18T16-14-00Z.log.
2026-09-18T16:14:00Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-18T16:14:00Z INFO Processing 374 items (49526 already recorded).
2026-09-18T16:17:01Z INFO [41/374] 059fda3a-50b5-4dde-8fca-ea928ac012e3: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:17:03Z INFO [42/374] 05a0a69e-70a8-4de7-85a4-6304ccdf3563: 117 datasets; 1.4 s; peak memory 201 MiB.
2026-09-18T16:17:09Z INFO [43/374] 05a0b7b9-c1bd-458d-9798-93fa8a8aa595: 538 datasets; 6.3 s; peak memory 201 MiB.
2026-09-18T16:17:10Z INFO [44/374] 05a0ee39-4b38-4bcf-8310-86a5982c86de: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:17:12Z INFO [45/374] 05a25ab5-f0cf-49bc-a846-4aff5bdd2673: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:17:13Z INFO [46/374] 05a29a0d-0cf8-47ba-9a18-654c36ba787b: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:17:14Z INFO [47/374] 05a2cdcc-8424-4ae0-a387-15403aa0fd54: 118 datasets; 1.5 s; peak memory 201 MiB.
2026-09-18T16:17:15Z INFO [48/374] 05a40dda-6a2d-4bab-8d30-501d837b3923: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:17:17Z INFO [49/374] 05a438dc-ce99-4cb4-aa78-f42618447f53: 118 datasets; 1.5 s; peak memory 201 MiB.
2026-09-18T16:17:18Z INFO [50/374] 05a54513-16dd-48cf-bd41-d58447365491: 117 datasets; 1.4 s; peak memory 201 MiB.
2026-09-18T16:17:18Z INFO [50/374] 05a54513-16dd-48cf-bd41-d58447365491: checkpointed 49576 records.
