2026-09-21T12:33:45Z INFO Logging to /tmp/logs/update_2026-09-21T12-33-45Z.log.
2026-09-21T12:33:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T12:33:45Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:36:38Z INFO [41/367] 0bd723d1-19b6-467f-8022-f1dbc32c4b43: 48 datasets; 1.4 s; peak memory 197 MiB.
2026-09-21T12:36:41Z INFO [42/367] 0bd774c0-db6d-49a6-86c9-39356ebacc4d: 152 datasets; 3.8 s; peak memory 197 MiB.
2026-09-21T12:36:43Z INFO [43/367] 0bd77fbd-e33f-4363-92ef-adfbc104d939: 117 datasets; 1.9 s; peak memory 197 MiB.
2026-09-21T12:36:45Z INFO [44/367] 0bd7b8ca-5f3a-4006-a80c-0ccaa10ee260: 48 datasets; 1.8 s; peak memory 197 MiB.
2026-09-21T12:36:47Z INFO [45/367] 0bd8a181-8f54-4aa7-beb5-d6c066d7fe19: 60 datasets; 1.9 s; peak memory 197 MiB.
2026-09-21T12:36:50Z INFO [46/367] 0bd98929-2cdb-4fc6-a7e4-8eaeac2ea978: 38 datasets; 3.3 s; peak memory 197 MiB.
2026-09-21T12:36:52Z INFO [47/367] 0bd9d269-df68-4864-883f-3bcb15551fc7: 261 datasets; 2.1 s; peak memory 197 MiB.
2026-09-21T12:36:55Z INFO [48/367] 0bda658b-44e1-440b-b57a-773509d7a5ee: 152 datasets; 2.9 s; peak memory 197 MiB.
2026-09-21T12:36:57Z INFO [49/367] 0bda89c4-99a8-47fd-9322-fe4c3af9fce6: 42 datasets; 1.3 s; peak memory 197 MiB.
2026-09-21T12:37:23Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: 48 datasets; 26.2 s; peak memory 197 MiB.
2026-09-21T12:37:23Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: checkpointed 52549 records.
2026-09-21T12:37:24Z INFO [51/367] 0bdb884b-79a5-4290-abc4-9448098db9d1: 117 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:37:27Z INFO [52/367] 0bdc44aa-d27a-4935-a3fe-60f302fa798e: 101 datasets; 2.6 s; peak memory 197 MiB.
2026-09-21T12:37:30Z INFO [53/367] 0bdc4685-162c-4ede-ae70-5424ca2f549c: 119 datasets; 3.3 s; peak memory 197 MiB.
2026-09-21T12:37:32Z INFO [54/367] 0bdd04b3-0270-4289-a8e9-0a50898cf708: 117 datasets; 1.7 s; peak memory 197 MiB.
2026-09-21T12:37:34Z INFO [55/367] 0bdd54c4-f1b7-4d4b-8680-693c9077917f: 112 datasets; 2.0 s; peak memory 197 MiB.
2026-09-21T12:37:36Z INFO [56/367] 0bde8a3e-7ce7-4e76-a67c-b85b4faed006: 116 datasets; 1.7 s; peak memory 197 MiB.
2026-09-21T12:37:37Z INFO [57/367] 0bded34a-db3f-46bf-a4f8-cf8147a4d337: 52 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:37:39Z INFO [58/367] 0bdee252-beff-450b-94d2-3551dcbca431: 48 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:37:41Z INFO [59/367] 0be04d93-44a9-46bb-b29e-9b2ff36744d9: 117 datasets; 2.0 s; peak memory 197 MiB.
2026-09-21T12:37:42Z INFO [60/367] 0be051ee-8a61-4261-9bf4-f469e11fcbe4: 48 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:37:44Z INFO [61/367] 0be0746d-3ed4-4bf9-95ed-6aa392c0239b: 48 datasets; 1.4 s; peak memory 197 MiB.
2026-09-21T12:38:08Z INFO [62/367] 0be08bea-389a-4daf-a90c-acc311e9a6c0: 939 datasets; 24.2 s; peak memory 197 MiB.
2026-09-21T12:38:26Z INFO [63/367] 0be0a808-d09d-466e-ac8b-3de399d48cdc: 38 datasets; 18.2 s; peak memory 197 MiB.
2026-09-21T12:38:28Z INFO [64/367] 0be1b660-0217-4bd8-9733-72807129e6a4: 48 datasets; 1.4 s; peak memory 197 MiB.
2026-09-21T12:38:31Z INFO [65/367] 0be1c9f1-a074-482b-beaf-8035fafe307e: 84 datasets; 3.7 s; peak memory 197 MiB.
2026-09-21T12:38:34Z INFO [66/367] 0be23455-a494-4d6b-89d2-4a52ca720b57: 112 datasets; 2.5 s; peak memory 197 MiB.
2026-09-21T12:38:35Z INFO [67/367] 0be3f5f4-5629-4dd4-acea-aceb0a8d31a3: 48 datasets; 1.4 s; peak memory 197 MiB.
2026-09-21T12:38:37Z INFO [68/367] 0be52d2b-6db6-49c9-a7d4-ca06b5726a91: 118 datasets; 1.8 s; peak memory 197 MiB.
2026-09-21T12:38:39Z INFO [69/367] 0be595e1-acb1-433d-b50b-e860c8f70be9: 66 datasets; 2.3 s; peak memory 197 MiB.
2026-09-21T12:38:43Z INFO [70/367] 0be5dc3b-eae7-406c-ad48-3f09389267ff: 156 datasets; 4.1 s; peak memory 197 MiB.
2026-09-21T12:38:45Z INFO [71/367] 0be60064-ba6c-4a9f-95a8-0b1e1f7a3ce9: 48 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:39:00Z INFO [72/367] 0be719c1-00c0-4756-823b-08f15b40391b: 931 datasets; 15.5 s; peak memory 197 MiB.
2026-09-21T12:39:02Z INFO [73/367] 0be93f18-8608-4df2-a594-97c67759ffff: 72 datasets; 1.7 s; peak memory 197 MiB.
2026-09-21T12:39:04Z INFO [74/367] 0be940c2-8c26-47da-9947-889855e1918d: 117 datasets; 1.7 s; peak memory 197 MiB.
2026-09-21T12:39:06Z INFO [75/367] 0be95fc6-b2f9-446b-87ee-2a47175b127c: 62 datasets; 1.8 s; peak memory 197 MiB.
2026-09-21T12:39:07Z INFO [76/367] 0be999a5-81a1-45cb-83d3-198b6a32ab60: 48 datasets; 1.2 s; peak memory 197 MiB.
2026-09-21T12:39:17Z INFO [77/367] 0bea007c-0c61-4de2-b33b-5e2d3a13923b: 11477 datasets; 10.2 s; peak memory 236 MiB.
2026-09-21T12:39:19Z INFO [78/367] 0beabc9c-0c5c-4890-a145-ab85be33897f: 112 datasets; 2.1 s; peak memory 236 MiB.
2026-09-21T12:39:37Z INFO [79/367] 0beb5b14-3df6-4ec4-837b-9ccaded562c7: 41 datasets; 17.8 s; peak memory 247 MiB.
2026-09-21T12:39:40Z INFO [80/367] 0bebd8db-4ad3-4d35-b60a-b85931f34f15: 71 datasets; 3.0 s; peak memory 247 MiB.
2026-09-21T12:39:41Z INFO [81/367] 0beca01a-54bd-4714-9b64-f4fcd92c9dcc: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:39:43Z INFO [82/367] 0bed09d6-f58a-4715-9f5b-d87f3f43b501: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:39:45Z INFO [83/367] 0bee4f44-a071-44b7-a6a9-0c562f8d92c7: 112 datasets; 2.2 s; peak memory 247 MiB.
2026-09-21T12:39:47Z INFO [84/367] 0bee5ab4-db69-4f92-a5f5-dd7a20ed91df: 71 datasets; 2.2 s; peak memory 247 MiB.
2026-09-21T12:39:54Z INFO [85/367] 0bee8a84-5d66-4337-a23e-9bb555b415cd: 229 datasets; 6.3 s; peak memory 247 MiB.
2026-09-21T12:39:56Z INFO [86/367] 0beea927-1d05-4951-b370-5d0df14cbcba: 71 datasets; 2.5 s; peak memory 247 MiB.
2026-09-21T12:39:58Z INFO [87/367] 0bef848c-7a1d-423f-8f66-dae0a33c8b0a: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:40:20Z INFO [88/367] 0bf03275-5079-4594-bee4-4858fc3bf2d2: 48 datasets; 22.5 s; peak memory 247 MiB.
2026-09-21T12:40:22Z INFO [89/367] 0bf03b84-2593-439e-9ea9-965d3762846d: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:40:24Z INFO [90/367] 0bf0a692-94b5-4149-8eeb-8344431d8c0d: 112 datasets; 2.0 s; peak memory 247 MiB.
2026-09-21T12:40:25Z INFO [91/367] 0bf1bcb2-c64a-45d3-b40b-ad4fa6b79f58: 46 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:40:27Z INFO [92/367] 0bf202ee-0bf6-43e4-b3fe-d14c83898694: 116 datasets; 1.9 s; peak memory 247 MiB.
2026-09-21T12:40:34Z INFO [93/367] 0bf20ba6-3809-417e-a3af-a8b7156fe10d: 193 datasets; 7.0 s; peak memory 247 MiB.
2026-09-21T12:40:36Z INFO [94/367] 0bf22d77-708e-4291-aa74-4e75379cd50e: 48 datasets; 1.6 s; peak memory 247 MiB.
2026-09-21T12:40:47Z INFO [95/367] 0bf23b1a-82bd-43f9-ae05-b7599ff7fd26: 623 datasets; 11.8 s; peak memory 247 MiB.
2026-09-21T12:40:49Z INFO [96/367] 0bf26de9-8ca8-4331-982a-e27a709aca9a: 114 datasets; 1.9 s; peak memory 247 MiB.
2026-09-21T12:40:51Z INFO [97/367] 0bf353bf-6c3f-47d7-b438-a21cab303c12: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:40:52Z INFO [98/367] 0bf47f3a-2b67-44c7-a298-51c260d9ae47: 117 datasets; 1.8 s; peak memory 247 MiB.
2026-09-21T12:41:01Z INFO [99/367] 0bf49b27-f4e6-4008-9d37-fb48dfd4ebc0: 701 datasets; 9.0 s; peak memory 247 MiB.
2026-09-21T12:41:03Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:41:03Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: checkpointed 52599 records.
2026-09-21T12:41:06Z INFO [101/367] 0bf6026d-f890-474c-8ee7-6ab80e95bb00: 71 datasets; 3.0 s; peak memory 247 MiB.
2026-09-21T12:41:09Z INFO [102/367] 0bf71dd5-b42d-4773-a39e-45c764aa08f6: 49 datasets; 2.8 s; peak memory 247 MiB.
2026-09-21T12:41:17Z INFO [103/367] 0bf7bf21-e55f-4072-a589-0554640d196b: 208 datasets; 8.3 s; peak memory 247 MiB.
2026-09-21T12:41:28Z INFO [104/367] 0bf88989-2452-4f92-9471-25b7c30f5844: 590 datasets; 10.7 s; peak memory 247 MiB.
2026-09-21T12:41:31Z INFO [105/367] 0bf8be3f-b74b-4b3b-8111-1f6385598eba: 102 datasets; 2.9 s; peak memory 247 MiB.
2026-09-21T12:41:32Z INFO [106/367] 0bf950da-e9b8-4185-ae2b-1a153db299ea: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:41:34Z INFO [107/367] 0bf97fe4-9258-4985-8974-117918874f90: 72 datasets; 1.7 s; peak memory 247 MiB.
2026-09-21T12:41:36Z INFO [108/367] 0bfaf92c-a454-4a4d-a112-a6b22ec7321a: 112 datasets; 1.9 s; peak memory 247 MiB.
2026-09-21T12:41:38Z INFO [109/367] 0bfb384e-9d4d-40db-bffb-b3dbb69bd189: 117 datasets; 1.9 s; peak memory 247 MiB.
2026-09-21T12:41:44Z INFO [110/367] 0bfbd075-9b6f-455d-94c1-4de5324913fd: 229 datasets; 6.2 s; peak memory 247 MiB.
2026-09-21T12:41:47Z INFO [111/367] 0bfc1b50-42be-403e-ba76-73eb2a9d6439: 38 datasets; 3.5 s; peak memory 247 MiB.
2026-09-21T12:41:49Z INFO [112/367] 0bfc3322-7d9e-453b-8d53-e54c0c5d6eb9: 48 datasets; 1.5 s; peak memory 247 MiB.
2026-09-21T12:41:51Z INFO [113/367] 0bfcac95-a1f8-433d-b727-ff1f636939b9: 112 datasets; 2.3 s; peak memory 247 MiB.
2026-09-21T12:42:26Z INFO [114/367] 0bfcc967-d709-4ea1-b982-0c61ae7a58f2: 1698 datasets; 35.4 s; peak memory 290 MiB.
2026-09-21T12:42:28Z INFO [115/367] 0bfd45a4-99c1-4941-90d7-4e9bf3d8f42b: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:42:30Z INFO [116/367] 0bfd6a65-129a-4865-9af6-dc2fdd45a2c2: 66 datasets; 2.2 s; peak memory 290 MiB.
2026-09-21T12:42:32Z INFO [117/367] 0bfd9050-c49d-42a3-9067-d8b6c3aa7e4c: 62 datasets; 2.0 s; peak memory 290 MiB.
2026-09-21T12:42:36Z INFO [118/367] 0bfd9ae1-7e17-4221-848a-4f6d558494bb: 84 datasets; 4.0 s; peak memory 290 MiB.
2026-09-21T12:42:38Z INFO [119/367] 0bfe049c-bb8b-4007-83c0-bf6d8df01702: 116 datasets; 1.8 s; peak memory 290 MiB.
2026-09-21T12:42:39Z INFO [120/367] 0bfe656d-5275-451c-a1c5-15b57e4e922e: 46 datasets; 1.4 s; peak memory 290 MiB.
2026-09-21T12:42:41Z INFO [121/367] 0bfe9c7a-a991-41f3-a5cd-85737a14ae52: 48 datasets; 1.3 s; peak memory 290 MiB.
2026-09-21T12:42:42Z INFO [122/367] 0bfef0d4-8219-4432-a3dc-44cac6fbce48: 118 datasets; 1.8 s; peak memory 290 MiB.
2026-09-21T12:42:49Z INFO [123/367] 0bfefd5b-ad99-4e48-973e-d440d5458645: 223 datasets; 6.6 s; peak memory 290 MiB.
2026-09-21T12:43:03Z INFO [124/367] 0c0086e2-bf72-4dae-8de6-2c317816fea8: 1180 datasets; 14.1 s; peak memory 290 MiB.
2026-09-21T12:43:05Z INFO [125/367] 0c01c2e2-c0d7-4375-945e-9abd47741968: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:43:11Z INFO [126/367] 0c01db87-564c-49eb-b459-e48b0867216c: 200 datasets; 6.6 s; peak memory 290 MiB.
2026-09-21T12:43:15Z INFO [127/367] 0c0244aa-10cc-40dd-a189-819cb2bd20b5: 153 datasets; 4.0 s; peak memory 290 MiB.
2026-09-21T12:43:17Z INFO [128/367] 0c02d440-5747-4207-bf75-726b8966e231: 66 datasets; 2.0 s; peak memory 290 MiB.
