2026-09-25T16:59:45Z INFO Logging to /tmp/logs/update_2026-09-25T16-59-45Z.log.
2026-09-25T16:59:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-25T16:59:45Z INFO Processing 367 items (57291 already recorded).
2026-09-25T17:02:33Z INFO [41/367] 15adeb19-5df0-4862-bec1-62af18ae1417: 38 datasets; 4.9 s; peak memory 167 MiB.
2026-09-25T17:02:39Z INFO [42/367] 15ae4d37-88b8-46cc-a0b2-31c1ea7cb577: 739 datasets; 6.1 s; peak memory 167 MiB.
2026-09-25T17:02:41Z INFO [43/367] 15ae73f8-577f-458e-a38d-dbcbb47608f6: 45 datasets; 1.4 s; peak memory 167 MiB.
2026-09-25T17:02:42Z INFO [44/367] 15aecc35-3304-40d0-9cc0-a0f8cd43d105: 46 datasets; 0.9 s; peak memory 167 MiB.
2026-09-25T17:02:43Z INFO [45/367] 15b04f5f-1ff1-4444-917e-594ceb66ea80: 45 datasets; 1.0 s; peak memory 167 MiB.
2026-09-25T17:02:55Z INFO [46/367] 15b12ad9-8f9d-49bf-8829-89e484edaa42: 234 datasets; 12.7 s; peak memory 167 MiB.
2026-09-25T17:02:57Z INFO [47/367] 15b1d57c-0010-4a0e-9059-09dae0b997b2: 36 datasets; 1.2 s; peak memory 167 MiB.
2026-09-25T17:02:59Z INFO [48/367] 15b23515-8577-4713-9761-50082cc1ecad: 110 datasets; 1.9 s; peak memory 167 MiB.
2026-09-25T17:03:00Z INFO [49/367] 15b3cb3a-80a0-4aeb-b1df-d78876ffb82f: 52 datasets; 1.4 s; peak memory 167 MiB.
2026-09-25T17:03:02Z INFO [50/367] 15b3db8f-4277-4e2b-b6c9-532db8dd5e19: 118 datasets; 1.6 s; peak memory 167 MiB.
2026-09-25T17:03:02Z INFO [50/367] 15b3db8f-4277-4e2b-b6c9-532db8dd5e19: checkpointed 57341 records.
2026-09-25T17:03:03Z INFO [51/367] 15b3ea7d-5586-45eb-abe4-a19f6ead85b6: 63 datasets; 1.2 s; peak memory 167 MiB.
2026-09-25T17:03:04Z INFO [52/367] 15b5a462-db65-4aec-bc31-4e0afa2f7e0f: 48 datasets; 1.1 s; peak memory 167 MiB.
2026-09-25T17:03:05Z INFO [53/367] 15b5b511-8c98-49c7-a847-1e31b5116ebe: 118 datasets; 1.3 s; peak memory 167 MiB.
2026-09-25T17:03:07Z INFO [54/367] 15b5e825-80be-40f2-9496-4339d68791d7: 53 datasets; 2.0 s; peak memory 167 MiB.
2026-09-25T17:03:10Z INFO [55/367] 15b61949-0fa2-4037-80b8-efce7595ade4: 117 datasets; 2.6 s; peak memory 167 MiB.
2026-09-25T17:03:28Z INFO [56/367] 15b69144-18ff-419f-a397-595dde18c317: 11551 datasets; 18.0 s; peak memory 256 MiB.
2026-09-25T17:03:44Z INFO [57/367] 15b73960-a00c-4890-a83c-161d12809d32: 38 datasets; 16.4 s; peak memory 256 MiB.
2026-09-25T17:03:47Z INFO [58/367] 15b773b0-345f-4d83-ae44-d3de9d773f3f: 115 datasets; 2.8 s; peak memory 256 MiB.
2026-09-25T17:03:48Z INFO [59/367] 15b776f4-499f-49ba-b171-2d1697465332: 57 datasets; 0.9 s; peak memory 256 MiB.
2026-09-25T17:03:50Z INFO [60/367] 15b907b2-c6a5-4646-bd96-167bc154d621: 66 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:03:51Z INFO [61/367] 15ba1c75-acc6-495f-be72-90a4ae8a5f38: 66 datasets; 1.8 s; peak memory 256 MiB.
2026-09-25T17:03:53Z INFO [62/367] 15bb0049-e101-43c4-a230-a4f6f91a53d2: 46 datasets; 1.7 s; peak memory 256 MiB.
2026-09-25T17:03:55Z INFO [63/367] 15bba031-2686-44ba-86e0-e39dbf61ea89: 112 datasets; 1.7 s; peak memory 256 MiB.
2026-09-25T17:03:56Z INFO [64/367] 15bbef90-b222-4d2a-b705-ffb8c91f8a3a: 48 datasets; 1.2 s; peak memory 256 MiB.
2026-09-25T17:03:58Z INFO [65/367] 15bd486e-ad4e-487b-b7ba-626e522941d4: 112 datasets; 1.8 s; peak memory 256 MiB.
2026-09-25T17:04:01Z INFO [66/367] 15be2227-f23d-47c5-a6c9-3fb02a2ac5bb: 115 datasets; 2.9 s; peak memory 256 MiB.
2026-09-25T17:04:04Z INFO [67/367] 15be3daf-f645-4330-83a1-4bd9c937662c: 146 datasets; 3.0 s; peak memory 256 MiB.
2026-09-25T17:04:05Z INFO [68/367] 15be5b94-3e1f-41f9-9bc2-b2dad0556c0f: 68 datasets; 1.5 s; peak memory 256 MiB.
