2026-09-26T11:11:31Z INFO Logging to /tmp/logs/update_2026-09-26T11-11-31Z.log.
2026-09-26T11:11:31Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-26T11:11:31Z INFO Processing 384 items (58022 already recorded).
2026-09-26T11:11:49Z INFO [18/384] 172acc37-a58d-4465-8a23-1f6656965b3a: 41 datasets; 0.5 s; peak memory 106 MiB.
2026-09-26T11:12:24Z INFO [19/384] 172ba2f3-da01-4ba2-a5bd-f21b3aceb99a: 13913 datasets; 34.5 s; peak memory 272 MiB.
2026-09-26T11:12:24Z INFO [20/384] 172c4d66-27b6-4f5a-bef9-8dad968a65c7: 117 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:12:57Z INFO [21/384] 172c9a2a-ee35-4d29-9077-ead7501f47ca: 55 datasets; 32.7 s; peak memory 272 MiB.
2026-09-26T11:12:58Z INFO [22/384] 172ccb81-748c-4bfd-bba6-ce21d9eb42d4: 71 datasets; 1.4 s; peak memory 272 MiB.
2026-09-26T11:12:59Z INFO [23/384] 172ce6f1-6e72-4e15-932a-c0e3a5648971: 66 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:13:12Z INFO [24/384] 172ceecd-3a5f-46b1-bd77-fe478accb087: 1022 datasets; 12.4 s; peak memory 272 MiB.
2026-09-26T11:13:13Z INFO [25/384] 172de3c7-0d94-4e5d-952c-de3b0178ac84: 117 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:13:23Z INFO [26/384] 172e369f-8474-4e16-8c96-c4326354f587: 432 datasets; 10.4 s; peak memory 272 MiB.
2026-09-26T11:13:24Z INFO [27/384] 172e600e-c068-4fb3-bcab-4e757d027d29: 71 datasets; 1.2 s; peak memory 272 MiB.
2026-09-26T11:13:26Z INFO [28/384] 172ee144-ce7b-4a02-865c-b596b457f99f: 71 datasets; 1.2 s; peak memory 272 MiB.
2026-09-26T11:13:27Z INFO [29/384] 172f2506-1805-4eeb-94ae-4681eedd4de9: 110 datasets; 1.4 s; peak memory 272 MiB.
2026-09-26T11:13:29Z INFO [30/384] 172fcfc5-7055-4044-b8a8-7943e6edeff6: 88 datasets; 1.9 s; peak memory 272 MiB.
2026-09-26T11:13:29Z INFO [31/384] 172fda0b-bcc2-4f71-a62c-5a0f248f4e07: 48 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:13:30Z INFO [32/384] 172ffc57-8992-4013-b10b-fff16f654c02: 68 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:13:31Z INFO [33/384] 173096b7-ae08-4a18-b239-376fe9f50b27: 50 datasets; 0.5 s; peak memory 272 MiB.
2026-09-26T11:13:32Z INFO [34/384] 17317ef3-195f-4ad5-9944-9376571019f2: 112 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:14:30Z INFO [35/384] 1731d9eb-a003-411f-9d49-bb4fe3efc290: 58 datasets; 58.1 s; peak memory 272 MiB.
2026-09-26T11:14:31Z INFO [36/384] 1731db14-c2cf-4f46-b2ec-b96f89aaf992: 52 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:14:32Z INFO [37/384] 17324745-9786-4f63-92e4-50e77ab9d5c8: 117 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:14:33Z INFO [38/384] 1733411d-95fc-48e2-ad3c-c88c4a616fdf: 71 datasets; 1.6 s; peak memory 272 MiB.
2026-09-26T11:14:36Z INFO [39/384] 17339942-54df-4bbe-b8b1-414961634e4d: 269 datasets; 3.3 s; peak memory 272 MiB.
2026-09-26T11:14:38Z INFO [40/384] 17344193-29ce-49ae-9394-bacbe8e9a369: 290 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:14:43Z INFO [41/384] 173444cb-2ed5-4183-b1fe-0f27619b2eac: 336 datasets; 5.4 s; peak memory 272 MiB.
2026-09-26T11:14:44Z INFO [42/384] 1734d3dd-c6e7-4ae2-86b6-d5abb5b1a770: 117 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:14:45Z INFO [43/384] 1734e4fd-5ff7-46ef-9425-e5e4204ab250: 114 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:14:45Z INFO [44/384] 17353a21-fd0b-498a-844e-7ab8b2c9e9c7: 48 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:15:15Z INFO [45/384] 173584ec-0dac-40e2-a40d-e4ea9ea05dc2: 52 datasets; 29.4 s; peak memory 272 MiB.
2026-09-26T11:15:16Z INFO [46/384] 17358a6f-54f1-4c86-b6bf-489ea491804e: 69 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:15:16Z INFO [47/384] 17358f1d-c00a-4664-83c0-734fc21023ad: 50 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:15:17Z INFO [48/384] 1735ab16-6d27-43c2-b53a-735f64a85a00: 62 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:15:18Z INFO [49/384] 1735ff13-b985-4c7c-b1f8-a96bd32c1c4a: 78 datasets; 1.3 s; peak memory 272 MiB.
2026-09-26T11:15:19Z INFO [50/384] 173635a7-89c4-418a-a457-53241f9f1be7: 117 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:19Z INFO [50/384] 173635a7-89c4-418a-a457-53241f9f1be7: checkpointed 58072 records.
2026-09-26T11:15:21Z INFO [51/384] 173738bc-35c8-451c-b9c4-ef15df1937f6: 197 datasets; 2.0 s; peak memory 272 MiB.
2026-09-26T11:15:22Z INFO [52/384] 1737adef-5dbd-49ff-ad02-683a730ae4ea: 117 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:23Z INFO [53/384] 1737ae8f-c394-4d73-a87d-2407b5d9b906: 71 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:24Z INFO [54/384] 1737f622-2fb7-4705-a373-3858055c24fa: 48 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:15:25Z INFO [55/384] 17385c2e-dded-424f-bc26-885c1ba1804d: 117 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:26Z INFO [56/384] 1738d236-1f53-4cc7-a087-3f3601b367c2: 117 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:15:26Z INFO [57/384] 173924d7-69fe-47e3-a2a8-cb74d48f1689: 48 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:15:27Z INFO [58/384] 1739c7c0-7795-44ad-ab52-c4b8f3dcb7d1: 52 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:15:28Z INFO [59/384] 1739fdcf-0dc0-4abd-9a42-95e2ae549a9b: 117 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:29Z INFO [60/384] 173b4a0d-2edd-425c-baba-6bcd5278e8cf: 52 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:15:30Z INFO [61/384] 173b8857-7f73-4282-9b33-26a7d54d3030: 48 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:31Z INFO [62/384] 173c6f93-9e8c-4d84-a484-239f3dfc2870: 153 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:34Z INFO [63/384] 173d8b10-e1e7-4e17-b102-6b0cf4d35052: 229 datasets; 3.8 s; peak memory 272 MiB.
2026-09-26T11:15:35Z INFO [64/384] 173e45ec-d063-4525-bc28-eec98b0a3ea6: 118 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:15:37Z INFO [65/384] 173f09e8-371f-4c6e-a7a5-788de1cdf61a: 71 datasets; 1.5 s; peak memory 272 MiB.
2026-09-26T11:15:38Z INFO [66/384] 17411fc8-c79d-475c-b9a8-7d27a616617b: 116 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:15:39Z INFO [67/384] 17413abc-f7c6-4e71-aee0-becf82d43dd0: 48 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:15:40Z INFO [68/384] 17418c6f-d854-4f97-8694-25cbb176ed40: 101 datasets; 1.5 s; peak memory 272 MiB.
2026-09-26T11:15:41Z INFO [69/384] 1742111c-6734-4b94-a7f2-cce609ff91c2: 112 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:15:43Z INFO [70/384] 1742374d-394b-40c6-a670-e69860488c5e: 156 datasets; 1.9 s; peak memory 272 MiB.
2026-09-26T11:15:44Z INFO [71/384] 174245c9-1910-4ddc-9d03-0808efd2781f: 48 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:45Z INFO [72/384] 17426d2a-2cfb-4765-ab65-0ede727896dd: 48 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:15:46Z INFO [73/384] 17429a7a-c505-4781-9443-d9ef7ec9d4d8: 48 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:16:02Z INFO [74/384] 1742c1bb-c394-4018-a0f2-69402235074d: 4372 datasets; 16.6 s; peak memory 272 MiB.
2026-09-26T11:16:04Z INFO [75/384] 1743330d-5443-44fe-b46b-dedba702dc26: 115 datasets; 1.6 s; peak memory 272 MiB.
2026-09-26T11:16:05Z INFO [76/384] 1743a0a0-4c99-464c-b711-f79eafa0472f: 46 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:16:11Z INFO [77/384] 1743ee28-007e-4d51-8dae-4430019bca44: 41 datasets; 6.4 s; peak memory 272 MiB.
2026-09-26T11:16:12Z INFO [78/384] 17448ffd-481a-4380-a415-2abf7e8f0590: 66 datasets; 1.2 s; peak memory 272 MiB.
2026-09-26T11:16:13Z INFO [79/384] 1744a051-3428-41a7-a24a-199dccc44a70: 71 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:16:14Z INFO [80/384] 174506ab-a9c4-4854-b3b4-4592959178f7: 42 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:16:15Z INFO [81/384] 17456f5f-8db0-45e7-94fa-bae54aef1347: 48 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:16Z INFO [82/384] 17469923-9946-4879-a32d-8c87c38571d9: 118 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:16:17Z INFO [83/384] 1746d035-05a3-4c26-a971-31afe742204d: 117 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:17Z INFO [84/384] 174735ac-7ef8-49f8-9506-9fcc36015940: 117 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:18Z INFO [85/384] 17475810-a23a-4864-8c44-aad2a71d1e8d: 48 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:16:19Z INFO [86/384] 1747a2e1-b2f8-479a-8c4f-9464a2b22cb7: 48 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:16:20Z INFO [87/384] 17490736-6323-4153-90a1-268711a68d2b: 88 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:16:21Z INFO [88/384] 17491cf2-0326-4a39-ab3f-3cd5099a2cc0: 115 datasets; 1.6 s; peak memory 272 MiB.
2026-09-26T11:16:26Z INFO [89/384] 174957c6-0923-467c-b37e-9670e33f0694: 56 datasets; 4.3 s; peak memory 272 MiB.
2026-09-26T11:16:27Z INFO [90/384] 174a76b1-d5ac-45f5-a83b-69fce9dc5302: 69 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:16:28Z INFO [91/384] 174a8088-9edb-46df-a2de-2c5d2597e367: 62 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:16:29Z INFO [92/384] 174abd3b-f56a-426e-841c-0bdb3bd6b002: 112 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:16:29Z INFO [93/384] 174afe4b-0c89-4df4-9975-2a4ffbb8344a: 46 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:16:30Z INFO [94/384] 174aff1d-173f-460a-9a48-480c5c9190b3: 48 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:31Z INFO [95/384] 174c0234-b406-47ea-a257-076d1585ff25: 66 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:16:32Z INFO [96/384] 174cccef-0cd8-4a7a-b90a-c28e893e188a: 56 datasets; 0.4 s; peak memory 272 MiB.
2026-09-26T11:16:32Z INFO [97/384] 174d4867-d96f-4328-9c56-a232ea02ca7b: 52 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:16:43Z INFO [98/384] 174dd84e-039e-4196-bcad-b514f3047a7f: 50 datasets; 10.5 s; peak memory 272 MiB.
2026-09-26T11:16:44Z INFO [99/384] 174e2644-0526-4721-a092-d5eb00467300: 48 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:16:44Z INFO [100/384] 174e4ab8-5843-40a0-af04-8d94c3d1b1a1: 117 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:44Z INFO [100/384] 174e4ab8-5843-40a0-af04-8d94c3d1b1a1: checkpointed 58122 records.
2026-09-26T11:16:45Z INFO [101/384] 174e9c78-5c13-435b-b801-fb70528703bf: 58 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:16:46Z INFO [102/384] 174ebe82-20c3-4818-ba61-5c8f69c5336a: 117 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:16:47Z INFO [103/384] 174f63a5-c5f0-4b08-afa3-81fc4c96187e: 117 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:48Z INFO [104/384] 174f7808-425e-4d21-a3ae-55016da10f55: 115 datasets; 1.7 s; peak memory 272 MiB.
2026-09-26T11:16:50Z INFO [105/384] 174fe02d-7691-4d9c-bcb9-72eec206077d: 114 datasets; 1.6 s; peak memory 272 MiB.
2026-09-26T11:16:51Z INFO [106/384] 17519afe-ada3-40ca-b7d6-b77a0e87b4d1: 46 datasets; 0.8 s; peak memory 272 MiB.
2026-09-26T11:16:52Z INFO [107/384] 1751e552-d913-4758-b068-46fc3e022084: 77 datasets; 1.0 s; peak memory 272 MiB.
2026-09-26T11:16:52Z INFO [108/384] 17527cd0-256a-408c-8d26-1bd9f4258e02: 45 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:16:58Z INFO [109/384] 1752a113-1aea-467a-883e-360d1534637e: 813 datasets; 6.0 s; peak memory 272 MiB.
2026-09-26T11:16:59Z INFO [110/384] 17531c8b-e09f-4c14-9538-6e7836e774e2: 92 datasets; 0.7 s; peak memory 272 MiB.
2026-09-26T11:17:00Z INFO [111/384] 17541a02-d7cc-424d-92e1-35944db9f35f: 51 datasets; 0.6 s; peak memory 272 MiB.
2026-09-26T11:17:01Z INFO [112/384] 175465b1-32ef-43ee-89e8-95a6e251dd8b: 71 datasets; 1.1 s; peak memory 272 MiB.
2026-09-26T11:17:02Z INFO [113/384] 1754b3b7-5a2d-44df-8abb-7b6705f21e65: 46 datasets; 0.9 s; peak memory 272 MiB.
2026-09-26T11:18:50Z INFO [114/384] 1754b917-b57a-4954-b9d9-4d45675c2565: 433 datasets; 108.6 s; peak memory 310 MiB.
2026-09-26T11:18:53Z INFO [115/384] 1754c04b-393e-4c1f-8fdf-8468edf0d471: 84 datasets; 2.7 s; peak memory 310 MiB.
2026-09-26T11:18:59Z INFO [116/384] 1755329d-ad0d-4fa2-9d2e-befddcef5878: 11485 datasets; 5.8 s; peak memory 310 MiB.
2026-09-26T11:19:00Z INFO [117/384] 17554888-9dee-4858-a8d6-e8e20385909e: 48 datasets; 0.8 s; peak memory 310 MiB.
2026-09-26T11:19:01Z INFO [118/384] 17555eb3-a487-4925-8212-afd1a785c1be: 112 datasets; 1.3 s; peak memory 310 MiB.
2026-09-26T11:19:02Z INFO [119/384] 17562f12-864d-4098-a42b-fbd02d405607: 71 datasets; 1.3 s; peak memory 310 MiB.
2026-09-26T11:19:03Z INFO [120/384] 17564ab3-fc55-4c9a-9eca-1cfe412fef06: 116 datasets; 0.8 s; peak memory 310 MiB.
2026-09-26T11:19:04Z INFO [121/384] 1757b058-dd1b-49e0-a40a-87e29c95798c: 115 datasets; 0.9 s; peak memory 310 MiB.
2026-09-26T11:19:05Z INFO [122/384] 1757d268-13f6-419d-aaec-c7aab7d3c46c: 69 datasets; 1.1 s; peak memory 310 MiB.
2026-09-26T11:19:07Z INFO [123/384] 1757fcd7-ccc7-46d4-a2df-a7de1c841bb5: 115 datasets; 1.8 s; peak memory 310 MiB.
2026-09-26T11:19:08Z INFO [124/384] 1758e77c-d612-422c-a799-f35ac518ef6f: 66 datasets; 1.1 s; peak memory 310 MiB.
2026-09-26T11:19:16Z INFO [125/384] 175982f5-2112-4367-b36b-0c75e961dbee: 765 datasets; 8.5 s; peak memory 310 MiB.
2026-09-26T11:19:17Z INFO [126/384] 1759a385-a27f-41dd-b142-caec0e4d6853: 38 datasets; 0.7 s; peak memory 310 MiB.
2026-09-26T11:20:55Z INFO [127/384] 1759aac4-6cce-4c76-9ace-fe0d6263ae14: 241 datasets; 97.8 s; peak memory 386 MiB.
2026-09-26T11:27:10Z INFO [128/384] 1759b6ca-7f21-4f35-822f-ebbfa84f5810: 109 datasets; 375.4 s; peak memory 1225 MiB.
2026-09-26T11:27:11Z INFO [129/384] 175a8c75-4dc4-4d5d-8b3b-91e39fee896b: 116 datasets; 0.9 s; peak memory 1225 MiB.
2026-09-26T11:27:12Z INFO [130/384] 175b2dad-be0a-4f0a-a132-b246e7685aad: 112 datasets; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:27:13Z INFO [131/384] 175b3df1-c3ce-4927-97cc-a3c638123b72: 66 datasets; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:27:14Z INFO [132/384] 175b924a-1ba3-4b79-b5ec-7819929bc346: 69 datasets; 1.2 s; peak memory 1225 MiB.
