2026-09-20T22:20:21Z INFO Logging to /tmp/logs/update_2026-09-20T22-20-21Z.log.
2026-09-20T22:20:21Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-20T22:20:21Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:20:50Z INFO [15/369] 0b0164ee-dd7e-4530-b06d-d0b9f2ff1430: 919 datasets; 5.0 s; peak memory 146 MiB.
2026-09-20T22:20:51Z INFO [16/369] 0b01fe88-0867-462a-8f73-7ab9cfac037a: 48 datasets; 0.6 s; peak memory 147 MiB.
2026-09-20T22:20:52Z INFO [17/369] 0b027a03-fd2d-47fc-b554-5ed6fb9c9fd3: 153 datasets; 0.8 s; peak memory 147 MiB.
2026-09-20T22:20:57Z INFO [18/369] 0b02d10f-85bc-4047-a354-58fdfa676d8d: 787 datasets; 5.8 s; peak memory 147 MiB.
2026-09-20T22:21:01Z INFO [19/369] 0b0330b2-e100-4860-9ec0-b1d884d325ff: 196 datasets; 3.8 s; peak memory 148 MiB.
2026-09-20T22:21:02Z INFO [20/369] 0b047b9e-d595-424d-a365-37e6f8b8bf9b: 48 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:03Z INFO [21/369] 0b05746d-7e90-473f-9416-f61da4eefba0: 74 datasets; 0.7 s; peak memory 148 MiB.
2026-09-20T22:21:06Z INFO [22/369] 0b066692-0a42-4c77-bb1a-dd3a53c6a505: 223 datasets; 3.2 s; peak memory 148 MiB.
2026-09-20T22:21:11Z INFO [23/369] 0b06e5d8-812b-45bd-8969-50dc710eaac0: 704 datasets; 4.7 s; peak memory 148 MiB.
2026-09-20T22:21:11Z INFO [24/369] 0b070d34-b3ce-41b2-afe0-1f7234119de0: 117 datasets; 0.7 s; peak memory 148 MiB.
2026-09-20T22:21:12Z INFO [25/369] 0b0743c0-01e9-4af8-aa21-ff9a521a2102: 70 datasets; 1.0 s; peak memory 148 MiB.
2026-09-20T22:21:13Z INFO [26/369] 0b07c672-0c3b-42ba-a8f3-ddbc014ce2d4: 45 datasets; 0.4 s; peak memory 148 MiB.
2026-09-20T22:21:13Z INFO [27/369] 0b0a1f81-b472-4ae5-aab5-c31502429a51: 117 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:14Z INFO [28/369] 0b0b7537-2b71-483b-922e-26a4d80aa959: 48 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:15Z INFO [29/369] 0b0bd7b2-3fa6-4d32-a5eb-8495395da999: 51 datasets; 0.7 s; peak memory 148 MiB.
