2026-09-26T00:28:52Z INFO Logging to /tmp/logs/update_2026-09-26T00-28-52Z.log.
2026-09-26T00:28:52Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-26T00:28:53Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:29:22Z INFO [15/364] 166a26b4-0c47-498b-bafc-085ceb704438: 48 datasets; 0.6 s; peak memory 120 MiB.
2026-09-26T00:29:23Z INFO [16/364] 166a3a13-7620-463f-8292-f2d68ffd2fbe: 69 datasets; 1.0 s; peak memory 120 MiB.
2026-09-26T00:29:24Z INFO [17/364] 166c3323-9f5b-44d8-9229-352a5611443f: 112 datasets; 0.9 s; peak memory 120 MiB.
2026-09-26T00:29:26Z INFO [18/364] 166c47e2-27e2-4743-a356-b7266ec54e47: 191 datasets; 1.5 s; peak memory 120 MiB.
2026-09-26T00:29:27Z INFO [19/364] 166cdc45-9c67-4395-a0ba-ab53281ba89e: 66 datasets; 0.9 s; peak memory 120 MiB.
2026-09-26T00:29:27Z INFO [20/364] 166dc103-936e-4f4f-8c61-c16b0bc1cccb: 48 datasets; 0.7 s; peak memory 120 MiB.
2026-09-26T00:29:36Z INFO [21/364] 166dd388-a1e1-4289-a9dd-b3cd0de0a095: 47 datasets; 8.8 s; peak memory 120 MiB.
2026-09-26T00:29:38Z INFO [22/364] 166df5fa-b8c8-4ee9-8c82-c79261775529: 71 datasets; 1.3 s; peak memory 120 MiB.
2026-09-26T00:29:38Z INFO [23/364] 166e330e-ebae-4a7d-8af7-6609ecd467c7: 48 datasets; 0.7 s; peak memory 120 MiB.
2026-09-26T00:29:49Z INFO [24/364] 166ef629-5119-47b0-b908-346108f260eb: 38 datasets; 10.6 s; peak memory 131 MiB.
2026-09-26T00:29:54Z INFO [25/364] 166f1749-7aba-4bec-8e74-0bf6fd52d5d9: 851 datasets; 5.5 s; peak memory 131 MiB.
2026-09-26T00:29:55Z INFO [26/364] 166f772d-189d-4043-ad49-8a832706abba: 261 datasets; 0.9 s; peak memory 131 MiB.
2026-09-26T00:30:36Z INFO [27/364] 16701220-9fd6-4e43-ab87-a273f5a34afd: 26243 datasets; 40.5 s; peak memory 343 MiB.
2026-09-26T00:30:36Z INFO [28/364] 1671305d-5f06-4e92-88e4-c01df527f5f1: 112 datasets; 0.7 s; peak memory 343 MiB.
2026-09-26T00:30:37Z INFO [29/364] 1671930e-7f1a-4688-9d1b-a0228e6da5d2: 38 datasets; 0.7 s; peak memory 343 MiB.
2026-09-26T00:30:38Z INFO [30/364] 1671a889-dc1a-4aa4-9334-0c69b44cd4cc: 48 datasets; 0.7 s; peak memory 343 MiB.
2026-09-26T00:30:39Z INFO [31/364] 16720de1-9fec-4c34-88d2-855d1c113c2a: 152 datasets; 1.2 s; peak memory 343 MiB.
2026-09-26T00:30:51Z INFO [32/364] 16721c0d-d308-45bf-979f-e54ba9dc7dc6: 2983 datasets; 11.8 s; peak memory 343 MiB.
2026-09-26T00:30:54Z INFO [33/364] 167236f3-05e8-49a6-82ce-ecca510bbc47: 229 datasets; 3.3 s; peak memory 343 MiB.
2026-09-26T00:30:55Z INFO [34/364] 1672aaf4-f538-4dd5-96ba-97d90dcc0df5: 117 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:11Z INFO [35/364] 1672dfee-d6e5-49f4-a007-f0c86603bbcd: 8233 datasets; 16.2 s; peak memory 343 MiB.
2026-09-26T00:31:12Z INFO [36/364] 16730fdd-7eb0-464a-9e0e-07f8f8af69a8: 118 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:15Z INFO [37/364] 1673c516-371a-4306-a03c-eeef66e6c409: 60 datasets; 2.9 s; peak memory 343 MiB.
2026-09-26T00:31:16Z INFO [38/364] 1674f4d9-a6c0-42b9-93d2-f20eacf4309c: 69 datasets; 1.0 s; peak memory 343 MiB.
2026-09-26T00:31:16Z INFO [39/364] 1674fca4-111d-469d-8926-c8d71c0bd171: 46 datasets; 0.5 s; peak memory 343 MiB.
2026-09-26T00:31:17Z INFO [40/364] 167536fa-c470-4648-af07-1ecb7fc7c0b3: 64 datasets; 0.7 s; peak memory 343 MiB.
2026-09-26T00:31:17Z INFO [41/364] 167567aa-6a76-4a62-a0fe-7ca39ecf2f3d: 115 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:18Z INFO [42/364] 16757c84-a7f2-43ec-9ff7-4fa56e54bcd4: 50 datasets; 0.4 s; peak memory 343 MiB.
2026-09-26T00:31:18Z INFO [43/364] 1675c35a-e975-481c-a296-3829715bcffc: 39 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:19Z INFO [44/364] 16766822-138c-48c7-b34d-132f8d18d915: 112 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:20Z INFO [45/364] 1676a7fa-1e4d-454e-8abf-60bed478d3e1: 48 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:26Z INFO [46/364] 1676ad92-dd7f-4a57-9803-d525f0bfadf3: 106 datasets; 6.6 s; peak memory 343 MiB.
2026-09-26T00:31:27Z INFO [47/364] 16777f13-f984-474d-93b1-c3b831d8ae99: 46 datasets; 0.5 s; peak memory 343 MiB.
2026-09-26T00:31:28Z INFO [48/364] 1678433d-8748-465e-88ed-6d44aa043dd3: 57 datasets; 1.3 s; peak memory 343 MiB.
2026-09-26T00:31:29Z INFO [49/364] 16784e36-8f8e-43e8-b1f9-ca314f554c7d: 51 datasets; 0.9 s; peak memory 343 MiB.
2026-09-26T00:31:29Z INFO [50/364] 1678aee2-233e-4cda-a18a-7a3a53f1a544: 46 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:29Z INFO [50/364] 1678aee2-233e-4cda-a18a-7a3a53f1a544: checkpointed 57708 records.
2026-09-26T00:31:30Z INFO [51/364] 1678f78e-3ef5-403a-bd24-4cc1b26030a8: 48 datasets; 0.7 s; peak memory 343 MiB.
2026-09-26T00:31:31Z INFO [52/364] 167921c6-88a6-42f2-8a91-f4371348aa4d: 48 datasets; 0.7 s; peak memory 343 MiB.
2026-09-26T00:31:32Z INFO [53/364] 16792f1f-a7e3-4b36-a6eb-a5cb815255f8: 78 datasets; 1.1 s; peak memory 343 MiB.
2026-09-26T00:31:32Z INFO [54/364] 167944d0-cc77-4bcb-ab89-24f2cf81471f: 116 datasets; 0.6 s; peak memory 343 MiB.
2026-09-26T00:31:33Z INFO [55/364] 167994dd-f793-4138-8f53-e2cd25b68ae0: 65 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:34Z INFO [56/364] 1679c7aa-0c80-45ab-b9b4-471b7bef6f41: 46 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:35Z INFO [57/364] 167a0ae8-3a03-4aa4-a76a-b3457f76c249: 74 datasets; 1.3 s; peak memory 344 MiB.
2026-09-26T00:31:36Z INFO [58/364] 167a1c31-b4f3-4964-be70-b078be7f7baa: 64 datasets; 1.0 s; peak memory 344 MiB.
2026-09-26T00:31:37Z INFO [59/364] 167a71ea-c67e-42b1-b0ba-66c36cacc32f: 39 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:37Z INFO [60/364] 167ad10b-909e-4970-853c-dc0008e19c34: 74 datasets; 0.5 s; peak memory 344 MiB.
2026-09-26T00:31:38Z INFO [61/364] 167bb74f-cc97-40cd-a91c-7bc9ef3886f2: 116 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:39Z INFO [62/364] 167c3028-35a4-4ce2-a67f-ce51e39da5c1: 69 datasets; 1.1 s; peak memory 344 MiB.
2026-09-26T00:31:39Z INFO [63/364] 167c56b1-74e0-4e46-9afa-808a0de997d6: 117 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:40Z INFO [64/364] 167cd81b-5cf0-4546-a370-986a5c150372: 52 datasets; 0.3 s; peak memory 344 MiB.
2026-09-26T00:31:42Z INFO [65/364] 167cdbb4-e606-487f-976e-7e8840b9dac1: 366 datasets; 2.3 s; peak memory 344 MiB.
2026-09-26T00:31:43Z INFO [66/364] 167d1112-9299-4fe8-87a2-3422b69652ea: 112 datasets; 0.8 s; peak memory 344 MiB.
2026-09-26T00:31:43Z INFO [67/364] 167d52b3-d72a-4aef-a0d3-9e5f3c984ca9: 118 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:47Z INFO [68/364] 167d81ea-9a12-435d-bb4d-65766c6da074: 538 datasets; 3.5 s; peak memory 344 MiB.
2026-09-26T00:31:48Z INFO [69/364] 167ddabe-c750-4850-b042-198080530447: 112 datasets; 0.7 s; peak memory 344 MiB.
2026-09-26T00:31:49Z INFO [70/364] 167fad12-47f6-4f12-85b3-8ec73799b4b3: 116 datasets; 0.8 s; peak memory 344 MiB.
2026-09-26T00:31:49Z INFO [71/364] 1682f69f-5666-4e0e-8b35-1167c4f5009a: 41 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:31:57Z INFO [72/364] 16849685-3a07-42fd-88e1-e46647c25a7a: 432 datasets; 8.3 s; peak memory 344 MiB.
2026-09-26T00:31:58Z INFO [73/364] 168521e3-6eb7-4abf-92a1-95482eaf2d91: 50 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:32:03Z INFO [74/364] 16859ce6-14fc-43b9-93b8-42a55ebb40ad: 339 datasets; 4.8 s; peak memory 344 MiB.
2026-09-26T00:32:04Z INFO [75/364] 1685a1cc-1ce4-4f4f-8a48-9715f14b1488: 48 datasets; 0.7 s; peak memory 344 MiB.
2026-09-26T00:32:04Z INFO [76/364] 1685b646-453e-45ca-be33-42d0efe41977: 48 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:32:06Z INFO [77/364] 168619ca-3d18-46e9-915f-f32e0b61ccd6: 658 datasets; 1.8 s; peak memory 344 MiB.
2026-09-26T00:32:10Z INFO [78/364] 16871063-fc3e-441d-b47f-caf10b817bb6: 538 datasets; 3.7 s; peak memory 344 MiB.
2026-09-26T00:32:13Z INFO [79/364] 16873f28-3127-4e44-9f7e-d1f36b51e810: 229 datasets; 2.9 s; peak memory 344 MiB.
2026-09-26T00:32:14Z INFO [80/364] 1688b1cc-2b2d-425d-9e67-9182d119c5f5: 66 datasets; 1.1 s; peak memory 344 MiB.
2026-09-26T00:32:14Z INFO [81/364] 1688b4e0-6226-46e1-96c8-0ae574e8b946: 117 datasets; 0.7 s; peak memory 344 MiB.
2026-09-26T00:32:15Z INFO [82/364] 1688fc12-8585-4b87-aadd-6b607764750b: 110 datasets; 0.9 s; peak memory 344 MiB.
2026-09-26T00:32:16Z INFO [83/364] 16898dcf-7d59-4973-9ab5-cf64596297cf: 64 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:33:40Z INFO [84/364] 1689a548-4d0c-402d-ac1c-116e0ef07a8a: 280 datasets; 84.3 s; peak memory 344 MiB.
2026-09-26T00:33:41Z INFO [85/364] 1689d891-2d2b-4ec5-b23d-6e03437048fb: 112 datasets; 0.7 s; peak memory 344 MiB.
2026-09-26T00:33:42Z INFO [86/364] 168aa2c9-b236-4faf-9805-523b3195b934: 117 datasets; 0.6 s; peak memory 344 MiB.
2026-09-26T00:33:42Z INFO [87/364] 168ae5de-2425-42c6-837b-cd07301f0a9e: 112 datasets; 0.7 s; peak memory 344 MiB.
2026-09-26T00:36:31Z INFO [88/364] 168beec7-8831-4526-8377-263b285d4fcf: 453 datasets; 169.2 s; peak memory 423 MiB.
2026-09-26T00:36:33Z INFO [89/364] 168d258f-9a4a-4a55-9960-c1d4baef310e: 115 datasets; 1.5 s; peak memory 423 MiB.
2026-09-26T00:36:34Z INFO [90/364] 168d9c77-2002-48dd-9b65-e4dfb3a06500: 118 datasets; 0.9 s; peak memory 423 MiB.
2026-09-26T00:36:35Z INFO [91/364] 168e207a-1f72-449f-930a-f74c370978f0: 112 datasets; 0.8 s; peak memory 423 MiB.
2026-09-26T00:36:35Z INFO [92/364] 168e8638-ed45-4a7e-8ed1-c06f5e47f2d5: 48 datasets; 0.8 s; peak memory 423 MiB.
2026-09-26T00:36:36Z INFO [93/364] 168e9395-f49d-4206-aea8-ab044f1bcc81: 48 datasets; 0.7 s; peak memory 423 MiB.
2026-09-26T00:36:37Z INFO [94/364] 168f2ff0-7d6f-441e-8631-eeb1ee90b43d: 155 datasets; 1.0 s; peak memory 423 MiB.
2026-09-26T00:37:07Z INFO [95/364] 16912c78-c7dd-40ce-b135-b5dbadced021: 180 datasets; 29.6 s; peak memory 423 MiB.
2026-09-26T00:37:07Z INFO [96/364] 169201ed-5d1f-4719-9ec5-56024c1bafea: 48 datasets; 0.7 s; peak memory 423 MiB.
2026-09-26T00:37:22Z INFO [97/364] 1692cda1-57c6-4fef-8b7d-8aef7f0ba431: 48 datasets; 14.1 s; peak memory 423 MiB.
2026-09-26T00:40:29Z INFO [98/364] 16932f8e-827f-4eb3-b735-17b3bad6efae: 62 datasets; 187.8 s; peak memory 453 MiB.
2026-09-26T00:40:30Z INFO [99/364] 16933fec-c09b-437e-a1cc-d8c38c8608b7: 50 datasets; 0.6 s; peak memory 453 MiB.
2026-09-26T00:40:33Z INFO [100/364] 1693b920-f7ec-4d09-98fe-251f70590c24: 229 datasets; 3.1 s; peak memory 453 MiB.
2026-09-26T00:40:33Z INFO [100/364] 1693b920-f7ec-4d09-98fe-251f70590c24: checkpointed 57758 records.
2026-09-26T00:40:38Z INFO [101/364] 1693fe1d-1672-4fb7-8eaa-645c4ae37885: 678 datasets; 4.5 s; peak memory 453 MiB.
2026-09-26T00:44:35Z INFO [102/364] 1694aaf4-4ba3-473a-8672-af9bb263b9a7: 173 datasets; 237.2 s; peak memory 504 MiB.
2026-09-26T00:44:35Z INFO [103/364] 16963cae-7c64-462a-9481-a8cee0695239: 48 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:44:36Z INFO [104/364] 1696876e-93d6-4366-8a9d-6715ddf21d12: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:44:37Z INFO [105/364] 1696ae56-a076-4e64-89f6-f00139966b0e: 48 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:44:38Z INFO [106/364] 1697cc9f-56fd-4908-bb75-026d9f63348a: 112 datasets; 0.9 s; peak memory 504 MiB.
