2026-09-17T16:44:42Z INFO Logging to /tmp/logs/update_2026-09-17T16-44-42Z.log.
2026-09-17T16:44:42Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T16:44:42Z INFO Processing 500 items (48030 already recorded).
2026-09-17T16:47:44Z INFO [42/500] 0264a635-b276-45be-9dec-88484f1bc2bd: 117 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:47:45Z INFO [43/500] 0264c460-d4cd-4c05-9aaf-527824b9c523: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:47:47Z INFO [44/500] 026504fc-3d87-47fc-acf8-eb8cabcf1d78: 118 datasets; 1.6 s; peak memory 281 MiB.
2026-09-17T16:47:48Z INFO [45/500] 026535d4-f345-4e0d-a322-0989787fce36: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:47:49Z INFO [46/500] 0265e972-ce89-4e76-ad16-722e4b535f21: 110 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:47:59Z INFO [47/500] 026668b1-7ebc-4629-b7e3-65ee751b810d: 874 datasets; 10.2 s; peak memory 281 MiB.
2026-09-17T16:48:00Z INFO [48/500] 0266f327-f0e8-4906-bf87-c9044c231c47: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:01Z INFO [49/500] 026732de-e63f-4c3d-8697-27bd6f0b927a: 71 datasets; 1.4 s; peak memory 281 MiB.
2026-09-17T16:48:02Z INFO [50/500] 02695368-ec1f-4f6f-a065-17083377175a: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:02Z INFO [50/500] 02695368-ec1f-4f6f-a065-17083377175a: checkpointed 48080 records.
2026-09-17T16:48:03Z INFO [51/500] 02698ca0-93ef-495e-9c98-10c2514fa4aa: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:04Z INFO [52/500] 026999f7-a034-4207-b483-9a840d0cd8d5: 112 datasets; 1.4 s; peak memory 281 MiB.
2026-09-17T16:48:05Z INFO [53/500] 026a656d-cab6-489b-963c-dca1fa70da99: 51 datasets; 0.7 s; peak memory 281 MiB.
2026-09-17T16:48:06Z INFO [54/500] 026aaef8-a741-49ee-8a08-da1a27af227c: 57 datasets; 0.7 s; peak memory 281 MiB.
2026-09-17T16:48:08Z INFO [55/500] 026ae42b-9345-40e0-943c-c33cbdf5d4f1: 118 datasets; 2.1 s; peak memory 281 MiB.
2026-09-17T16:48:09Z INFO [56/500] 026bebbd-e167-464d-b71c-0170734b09f4: 112 datasets; 1.3 s; peak memory 281 MiB.
2026-09-17T16:48:10Z INFO [57/500] 026c0e13-b0f0-4143-8074-a3fbae51024a: 116 datasets; 1.0 s; peak memory 281 MiB.
