2026-09-21T19:13:55Z INFO Logging to /tmp/logs/update_2026-09-21T19-13-55Z.log.
2026-09-21T19:13:55Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T19:13:55Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:17:45Z INFO [41/356] 0c96bf7d-c763-4601-bc5d-01c4b3ef101a: 44 datasets; 1.0 s; peak memory 212 MiB.
2026-09-21T19:17:46Z INFO [42/356] 0c96ea05-15c3-4387-b5d9-735c04689f40: 117 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:17:48Z INFO [43/356] 0c975e47-fdf6-4ae6-8011-59f1445a8cca: 55 datasets; 1.2 s; peak memory 212 MiB.
2026-09-21T19:17:49Z INFO [44/356] 0c97d371-ec3f-4a9c-a433-c2fd88ad6068: 48 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:17:50Z INFO [45/356] 0c992412-8d38-413e-981a-bb7daf8ea8e4: 35 datasets; 1.1 s; peak memory 212 MiB.
2026-09-21T19:18:43Z INFO [46/356] 0c99a0b4-003a-4b91-ac0a-bda9d63d6e92: 390 datasets; 52.5 s; peak memory 212 MiB.
2026-09-21T19:18:44Z INFO [47/356] 0c99acec-19ba-4394-83b8-0b913038d95d: 114 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:18:47Z INFO [48/356] 0c9a0559-758d-4705-b2d9-831caf3e22c2: 119 datasets; 2.8 s; peak memory 212 MiB.
2026-09-21T19:18:48Z INFO [49/356] 0c9b3800-ac4e-4341-addb-7a92573a2b21: 46 datasets; 1.1 s; peak memory 212 MiB.
2026-09-21T19:18:50Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: 69 datasets; 1.9 s; peak memory 212 MiB.
2026-09-21T19:18:50Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: checkpointed 52916 records.
2026-09-21T19:18:52Z INFO [51/356] 0c9c8dde-fa17-4a78-8cda-c1b7df8779de: 124 datasets; 2.7 s; peak memory 212 MiB.
2026-09-21T19:18:55Z INFO [52/356] 0c9d001e-c43d-45c7-b6fe-d1af429a52a4: 71 datasets; 2.3 s; peak memory 212 MiB.
2026-09-21T19:18:56Z INFO [53/356] 0c9d1ef4-f138-43f9-abc7-494438ecc23d: 52 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:18:58Z INFO [54/356] 0c9d9838-b9c7-46f0-8575-130e736964a0: 48 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:19:00Z INFO [55/356] 0c9e5114-b5e3-4a99-ba2d-5c3aba49be2e: 110 datasets; 1.8 s; peak memory 212 MiB.
2026-09-21T19:19:01Z INFO [56/356] 0c9e8607-8d70-46da-aa33-116ed04e5af7: 48 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:19:02Z INFO [57/356] 0c9ed46f-7820-4c98-bc18-249a1bc5651b: 31 datasets; 1.0 s; peak memory 212 MiB.
2026-09-21T19:19:04Z INFO [58/356] 0c9efdd2-12a5-4500-8a9d-a8365efac770: 110 datasets; 1.9 s; peak memory 212 MiB.
2026-09-21T19:19:05Z INFO [59/356] 0c9f1c15-311d-411d-8f2b-bb1bb79941b3: 62 datasets; 1.4 s; peak memory 212 MiB.
