2026-09-19T10:43:10Z INFO Logging to /tmp/logs/update_2026-09-19T10-43-10Z.log.
2026-09-19T10:43:10Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-19T10:43:10Z INFO Processing 374 items (50269 already recorded).
2026-09-19T10:47:51Z INFO [41/374] 07297b87-9014-48a7-ab6b-a3e843d5c837: 729 datasets; 5.5 s; peak memory 525 MiB.
2026-09-19T10:47:52Z INFO [42/374] 0729bf5a-27fe-42b1-a38d-59191d07e171: 79 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:47:52Z INFO [43/374] 072b1466-36a3-495f-8b27-2ae0a383b68e: 59 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:47:53Z INFO [44/374] 072b2dfb-9be4-41f4-9899-e59b66e4f699: 65 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:47:54Z INFO [45/374] 072becdf-9505-48b9-a492-00757bad8b8f: 112 datasets; 1.0 s; peak memory 525 MiB.
2026-09-19T10:47:55Z INFO [46/374] 072c412e-3b37-47d9-ab4a-eaca817a1f40: 112 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:47:56Z INFO [47/374] 072dfe24-49e0-4d9b-9d8d-d816f83c332a: 48 datasets; 0.6 s; peak memory 525 MiB.
2026-09-19T10:47:56Z INFO [48/374] 072e4615-51f0-4f2d-82be-e9294e131b9f: 48 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:47:57Z INFO [49/374] 072efaa1-1fbf-4f4d-b09c-8e8ff53b94e1: 62 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:47:58Z INFO [50/374] 0730641a-570a-47dc-a507-0698ceb17478: 45 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:47:58Z INFO [50/374] 0730641a-570a-47dc-a507-0698ceb17478: checkpointed 50319 records.
2026-09-19T10:48:01Z INFO [51/374] 073080ed-5854-42fd-ae86-1c508b7aa193: 414 datasets; 2.7 s; peak memory 525 MiB.
2026-09-19T10:48:12Z INFO [52/374] 073127d5-1e41-460a-8efe-787c56873901: 1027 datasets; 11.0 s; peak memory 525 MiB.
2026-09-19T10:48:12Z INFO [53/374] 07315a1d-372d-4b79-a9d5-89b271611d0b: 66 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:48:13Z INFO [54/374] 0731f941-e66c-4925-b94d-845c825e01aa: 66 datasets; 0.6 s; peak memory 525 MiB.
2026-09-19T10:48:15Z INFO [55/374] 0732018e-73cf-4526-8473-d4b7e73a1f26: 197 datasets; 2.2 s; peak memory 525 MiB.
2026-09-19T10:48:18Z INFO [56/374] 0732599b-1232-448a-a04d-1aa0dbd3cdc8: 92 datasets; 2.3 s; peak memory 525 MiB.
2026-09-19T10:48:19Z INFO [57/374] 0732ec30-9f94-4432-bba0-377f08a8b842: 66 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:48:22Z INFO [58/374] 07331792-991e-491c-90fb-4a6c736dd774: 108 datasets; 3.3 s; peak memory 525 MiB.
2026-09-19T10:48:23Z INFO [59/374] 07333116-cfce-45d7-bde2-566d5820d945: 117 datasets; 1.0 s; peak memory 525 MiB.
2026-09-19T10:48:34Z INFO [60/374] 07337272-1ef4-40d2-94b6-18fb49d52508: 48 datasets; 10.8 s; peak memory 525 MiB.
2026-09-19T10:48:34Z INFO [61/374] 07344578-04af-41fd-9775-5abe3bb152e7: 117 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:48:35Z INFO [62/374] 073470e8-0af4-4959-bd47-dd46abc934f7: 117 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:48:40Z INFO [63/374] 07360033-3bc5-4616-b5ff-01882e17a110: 11477 datasets; 5.5 s; peak memory 525 MiB.
2026-09-19T10:48:43Z INFO [64/374] 073654ab-af1a-4f55-87e1-75d4e8033cd9: 489 datasets; 2.9 s; peak memory 525 MiB.
2026-09-19T10:48:44Z INFO [65/374] 07370406-fc37-4a37-9b82-85a0cd29bd92: 110 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:48:46Z INFO [66/374] 0737345d-36d6-4161-b0fc-adae6cf91139: 143 datasets; 1.3 s; peak memory 525 MiB.
2026-09-19T10:48:46Z INFO [67/374] 07376a45-eb5c-4936-9212-ef1e966a8aa8: 118 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:48:47Z INFO [68/374] 073798cd-3794-4d47-968f-5516667d3c64: 67 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:48:48Z INFO [69/374] 0738092e-c13a-46ca-a553-ed8742c09d09: 116 datasets; 0.6 s; peak memory 525 MiB.
2026-09-19T10:48:48Z INFO [70/374] 073834d2-6ec5-47a4-9c1c-0d43b3f0aec8: 46 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:48:49Z INFO [71/374] 07387a8a-1e7a-4f5b-9cdb-f0a7c0c34bec: 48 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:48:49Z INFO [72/374] 07389290-f0e4-47f1-80f5-3f10a4e3d0a0: 47 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:48:50Z INFO [73/374] 07394f4f-9319-4c8e-8941-bed9af9dfb87: 46 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:48:51Z INFO [74/374] 07395998-ace3-4f88-9238-93d2114ca561: 112 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:48:51Z INFO [75/374] 0739aee1-139d-4315-842b-2346717f1993: 49 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:48:59Z INFO [76/374] 0739c079-730e-4f94-8968-ac8a762e87a9: 44 datasets; 7.8 s; peak memory 525 MiB.
2026-09-19T10:49:00Z INFO [77/374] 073bbac3-923c-40f8-b818-7e939c11fbd2: 48 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:49:01Z INFO [78/374] 073d3d29-6a7e-493c-b0e9-a18fb8110c86: 84 datasets; 1.0 s; peak memory 525 MiB.
2026-09-19T10:49:07Z INFO [79/374] 073d521e-5655-4ede-ae1d-3a0fb7723ade: 964 datasets; 6.6 s; peak memory 525 MiB.
2026-09-19T10:49:08Z INFO [80/374] 073d5f1f-1329-4b2b-9407-e256fb9940dd: 48 datasets; 0.6 s; peak memory 525 MiB.
2026-09-19T10:49:08Z INFO [81/374] 073d6127-2f57-43dd-a84d-5974eccb2400: 52 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:09Z INFO [82/374] 073e8b63-a118-4530-9528-d57ae054fe03: 46 datasets; 0.4 s; peak memory 525 MiB.
2026-09-19T10:49:09Z INFO [83/374] 073f07fe-770a-4c15-9198-b494aad96e92: 38 datasets; 0.6 s; peak memory 525 MiB.
2026-09-19T10:49:24Z INFO [84/374] 073fab4a-745c-42ae-bb18-c5dfac413f18: 5050 datasets; 14.3 s; peak memory 525 MiB.
2026-09-19T10:49:25Z INFO [85/374] 073fc345-4dc7-4550-826c-932df63a1c8f: 71 datasets; 1.1 s; peak memory 525 MiB.
2026-09-19T10:49:26Z INFO [86/374] 07403379-4e25-4a8d-949c-da85153d82ca: 38 datasets; 1.3 s; peak memory 525 MiB.
2026-09-19T10:49:27Z INFO [87/374] 07409f96-5db8-481c-835f-5e44a5d9e2e5: 69 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:49:28Z INFO [88/374] 07413bc3-193c-4bc6-af16-d64577159d0d: 48 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:29Z INFO [89/374] 07419366-d1ce-44d8-92ea-5bc81a3770a5: 168 datasets; 1.8 s; peak memory 525 MiB.
2026-09-19T10:49:31Z INFO [90/374] 07423052-6e3e-46dc-8468-c875a7e94260: 119 datasets; 1.3 s; peak memory 525 MiB.
2026-09-19T10:49:37Z INFO [91/374] 07426c15-123e-47f6-a5c8-72ea9790ee0d: 834 datasets; 6.0 s; peak memory 525 MiB.
2026-09-19T10:49:37Z INFO [92/374] 07427eec-fdea-4959-b88b-107347957ea8: 48 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:38Z INFO [93/374] 0742bdef-666d-422b-a375-1fec0feb0166: 48 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:49:38Z INFO [94/374] 0742d926-1ded-4182-81b1-11b3a9fac04d: 117 datasets; 0.6 s; peak memory 525 MiB.
2026-09-19T10:49:39Z INFO [95/374] 0743524a-37ad-4930-b01a-d7d80419615f: 117 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:49:40Z INFO [96/374] 0743ebf1-1a58-48c8-b7d2-0538d3c8f769: 76 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:49:41Z INFO [97/374] 0744f0b8-0d03-44c2-b20e-d4614ead0a24: 42 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:49:42Z INFO [98/374] 07457fae-8cd5-4caf-8115-5fbef6e8bf68: 116 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:49:45Z INFO [99/374] 07459460-c253-4db1-b030-50e542edec2d: 200 datasets; 3.1 s; peak memory 525 MiB.
2026-09-19T10:49:46Z INFO [100/374] 0746aa17-7740-4f69-8651-710195be2827: 66 datasets; 1.1 s; peak memory 525 MiB.
2026-09-19T10:49:46Z INFO [100/374] 0746aa17-7740-4f69-8651-710195be2827: checkpointed 50369 records.
2026-09-19T10:49:47Z INFO [101/374] 074702ff-f65d-4938-9413-dcd8db3b2005: 48 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:49:48Z INFO [102/374] 0747af25-6590-4a8c-9f6f-0b2c9658c558: 112 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:49:48Z INFO [103/374] 0748c348-52c5-44eb-bdab-2a36d41c76ee: 48 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:49:49Z INFO [104/374] 074927a7-271c-4a14-8046-2d56acc8f150: 66 datasets; 0.9 s; peak memory 525 MiB.
2026-09-19T10:49:50Z INFO [105/374] 074a134e-8d86-465e-aebc-4c5edda77b35: 69 datasets; 0.7 s; peak memory 525 MiB.
2026-09-19T10:49:50Z INFO [106/374] 074a552f-0115-4aa2-a401-f8f1dbfb08e9: 41 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:51Z INFO [107/374] 074a7171-6039-46d4-aee0-01b167730558: 118 datasets; 0.8 s; peak memory 525 MiB.
2026-09-19T10:49:52Z INFO [108/374] 074a7c8c-db1a-4808-8139-4ee0409c9319: 48 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:52Z INFO [109/374] 074ba1ad-768f-41a8-8d68-626120e0b38b: 42 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:53Z INFO [110/374] 074bbce5-ac67-423e-bfa6-b6421580bd5a: 48 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:53Z INFO [111/374] 074c1c05-9dd7-44a6-909f-0a38431eef44: 52 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:49:55Z INFO [112/374] 074c3b3b-601b-4da7-b144-fda3f6a34f75: 156 datasets; 1.8 s; peak memory 525 MiB.
2026-09-19T10:49:57Z INFO [113/374] 074cd1df-6326-43bf-9603-d57c05838e23: 116 datasets; 1.8 s; peak memory 525 MiB.
2026-09-19T10:49:58Z INFO [114/374] 074cdbd8-019e-4f2c-b92a-b3cd632159a1: 93 datasets; 1.7 s; peak memory 525 MiB.
2026-09-19T10:50:03Z INFO [115/374] 074cf84e-cd59-45a3-9ac2-672052ff2605: 681 datasets; 4.9 s; peak memory 525 MiB.
2026-09-19T10:50:04Z INFO [116/374] 074cff72-0d5d-4eef-b9e6-666d745ba78a: 48 datasets; 0.5 s; peak memory 525 MiB.
2026-09-19T10:50:07Z INFO [117/374] 074d8f7c-fed3-4a32-919c-26346f21a8af: 537 datasets; 3.1 s; peak memory 525 MiB.
2026-09-19T10:50:08Z INFO [118/374] 074de621-78c7-4319-a08c-64588dc0f767: 112 datasets; 1.1 s; peak memory 525 MiB.
2026-09-19T11:02:01Z INFO [119/374] 074e26b3-d11b-4463-bbf1-eb0f615c35fd: 114 datasets; 712.7 s; peak memory 1187 MiB.
